category,algorithm,alpha,alpha_high,alpha_low,tx_rate,pow_h,m,n_nodes,duration,topology,latency_model,latency_base_ms,latency_jitter_ms,seed,algo_tag,total_txs,convergence_ratio,orphan_rate,avg_latency_ms,max_latency_ms,size_mean,size_stddev,mean_L_steady,peak_L,wall_time_s
E_scale,hybrid,0.01,1.0,0.001,2.0,0.2,2,12,27.36898374557495,full_mesh,LOGNORMAL,100.0,50.0,42,,415,0.9879518072289156,0.03065367438083638,288.18295007281836,384.2120170593262,410.5,0.6454972243679028,11.52,14,27.37206482887268
E_scale,hybrid,0.01,1.0,0.001,2.0,0.2,2,12,27.36967182159424,full_mesh,LOGNORMAL,100.0,50.0,101,,415,0.9879518072289156,0.02882663418595209,288.9846590889825,379.1511058807373,410.5,0.5,10.296666666666667,16,27.373076677322388
F_topology,hybrid,0.01,1.0,0.001,2.0,0.2,2,8,26.769710063934326,full_mesh,LOGNORMAL,100.0,50.0,42,,276,0.9891304347826086,0.022394881170018283,291.6675795407433,384.0181827545166,273.5,0.7071067811865476,5.735,8,26.772148609161377
F_topology,hybrid,0.01,1.0,0.001,2.0,0.2,2,8,26.75753426551819,full_mesh,LOGNORMAL,100.0,50.0,101,,276,0.9891304347826086,0.02606310013717421,290.15674548489704,417.6950454711914,273.375,0.4841229182759271,7.95,11,26.75955080986023
F_topology,hybrid,0.01,1.0,0.001,2.0,0.2,2,8,26.785796880722046,ring,LOGNORMAL,100.0,50.0,42,,276,0.9746376811594203,0.029357798165137616,419.6205522489975,785.1762771606445,272.5,1.118033988749895,9.81,17,26.787827253341675
F_topology,hybrid,0.01,1.0,0.001,2.0,0.2,2,8,26.783822298049927,ring,LOGNORMAL,100.0,50.0,101,,276,0.9710144927536232,0.03035878564857406,426.0897468637537,800.1487255096436,271.75,1.3919410907075054,8.82,12,26.785908699035645
F_topology,hybrid,0.01,1.0,0.001,2.0,0.2,2,8,26.781686067581177,small_world,LOGNORMAL,100.0,50.0,42,,276,0.9746376811594203,0.028440366972477066,350.14676620411007,567.7473545074463,272.5,0.8660254037844386,9.115,12,26.783921241760254
F_topology,hybrid,0.01,1.0,0.001,2.0,0.2,2,8,26.75161099433899,small_world,LOGNORMAL,100.0,50.0,101,,276,0.9855072463768116,0.02880658436213992,348.5136285048573,631.9866180419922,273.375,0.4841229182759271,8.16,11,26.75279450416565
F_topology,hybrid,0.01,1.0,0.001,2.0,0.2,2,8,26.778130054473877,random_k,LOGNORMAL,100.0,50.0,42,,276,0.9818840579710145,0.031578947368421054,309.4333333798638,463.87457847595215,273.125,0.5994789404140899,6.295,10,26.780107021331787
F_topology,hybrid,0.01,1.0,0.001,2.0,0.2,2,8,26.7646222114563,random_k,LOGNORMAL,100.0,50.0,101,,276,0.9855072463768116,0.036596523330283626,317.13197473094016,498.58689308166504,273.25,0.4330127018922193,8.185,11,26.766324520111084
F_topology,hybrid,0.01,1.0,0.001,2.0,0.2,2,8,26.778451442718506,star,LOGNORMAL,100.0,50.0,42,,276,0.967391304347826,0.03173873045078197,378.1602230221785,747.1532821655273,271.75,1.5612494995995996,9.255,12,26.779629468917847
F_topology,hybrid,0.01,1.0,0.001,2.0,0.2,2,8,26.77101755142212,star,LOGNORMAL,100.0,50.0,101,,276,0.9601449275362319,0.027101515847496555,378.4645591299525,802.4179935455322,272.125,2.315032397181517,7.88,11,26.7730450630188
G_latency,hybrid,0.01,1.0,0.001,2.0,0.2,2,5,25.744685411453247,full_mesh,LOGNORMAL,20,6.0,42,,174,0.9942528735632183,0.02306805074971165,222.43963928111924,239.97211456298828,173.4,0.4898979485566356,3.504,5,25.74569797515869
G_latency,hybrid,0.01,1.0,0.001,2.0,0.2,2,5,25.739108085632324,full_mesh,LOGNORMAL,20,6.0,101,,174,0.9942528735632183,0.023094688221709007,222.5639865148899,242.30480194091797,173.2,0.4,3.408,6,25.740058422088623
G_latency,hybrid,0.01,1.0,0.001,2.0,0.2,2,5,25.744650840759277,full_mesh,LOGNORMAL,100,30.0,42,,174,0.9885057471264368,0.026682134570765657,300.7295295508981,391.0036087036133,172.4,0.4898979485566356,4.608,7,25.745800495147705
G_latency,hybrid,0.01,1.0,0.001,2.0,0.2,2,5,25.736915349960327,full_mesh,LOGNORMAL,100,30.0,101,,174,0.9885057471264368,0.0382830626450116,300.7342717800921,394.669771194458,172.4,0.4898979485566356,5.736,7,25.738256454467773
G_latency,hybrid,0.01,1.0,0.001,2.0,0.2,2,5,25.728989362716675,full_mesh,LOGNORMAL,300,90.0,42,,174,0.9195402298850575,0.04028436018957346,497.3900086816301,778.7270545959473,168.8,3.5440090293338695,6.288,10,25.730659246444702
G_latency,hybrid,0.01,1.0,0.001,2.0,0.2,2,5,25.74132490158081,full_mesh,LOGNORMAL,300,90.0,101,,174,0.9655172413793104,0.031727379553466516,500.1251984492808,764.8677825927734,170.2,1.32664991614216,5.576,8,25.74215602874756
G_latency,hybrid,0.01,1.0,0.001,2.0,0.2,2,5,25.713062047958374,full_mesh,LOGNORMAL,800,240.0,42,,174,0.3793103448275862,0.04339622641509434,1009.0670055813259,1644.5128917694092,106.0,24.511221919765646,6.72,13,25.714170932769775
G_latency,hybrid,0.01,1.0,0.001,2.0,0.2,2,5,25.722357273101807,full_mesh,LOGNORMAL,800,240.0,101,,174,0.41379310344827586,0.029668411867364748,1015.1051738682916,1678.9946556091309,114.6,21.850400453996258,6.624,12,25.72367262840271
